channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UCVOdT_BwuAbGsC0YjQwOoYg,229473,503518,2203,158,3373,126
UCLMNBVf8so0SbjSeGjxLiOA,141869,239911,3712,638,8874,36
UCbu8lQY-MwFNxXHq-q88cIA,88576,184989,146,60,1816,13
UCApPFD2lkTNTHhQJsqpp3xg,86487,185118,371,31,1166,25
UCIzqmACj6KMcuy0Q06OShcA,81573,165186,2777,91,1287,50
UCUlYVio1_3uEiTKvhWoq2uQ,66978,174622,1,22,455,22
UC3PeG6n4MjmhXHjig9np3dA,59223,115810,157,7,343,23
UCXWiKXUu5jGMtcZG3tZYHcA,52410,187910,265,25,560,20
UCuJLOUiC0IOzoPqvYpf_Pag,51813,108502,314,2,853,14
UCF7GJjNPB2R_1yGTpIB45jg,48070,117298,243,105,694,57
UCRg-hubwld8BEc8Afhn305w,27503,81901,117,17,485,7
UCNRYHxv-IKes0nthdfWYNhA,16661,25912,40,11,150,8
UCBoTSoL-oglOocfmXEQv8pA,16124,36401,55,11,243,10
UC51BZb8LNZW5Sp2ZBirudSg,13581,19406,172,29,284,11
UCu3XWT_2BMOI69unS2iIBkA,12753,23742,83,10,198,5
UCEqpHhAN-jdhA6F1Lecd5wg,9602,31040,69,5,148,0
UCo2fxh7Y0qRdmcZ2qIZ_RTw,8726,6685,198,8,68,9
UC55F9Nbp6PdURfWobSARxVw,8110,18624,30,6,76,4
UCn4ZQ84q-eBbGRUg60At0SQ,7926,17186,16,3,36,10
UCNSfONc2U1BfGV-gIF3ChcA,6265,9543,25,0,92,3
UCOQtOwoXZl76UrVN7pqNfHg,5946,14193,56,2,48,2
UCxq8iLGcQHZPBB2AcWcVh9A,3640,7076,2,5,45,0
UCh9l0j4KpQczQtNDrZlCJqA,3590,6421,14,1,25,3
UCygCLsD8jkys_WfVQdhS-KA,2388,3803,16,0,32,0
UC8EgZ1xm4ZFGbt-I0_qlWSQ,1760,1534,976,2,32,0
UC11VbLKq0ojQ2N-B2Q5m4mA,1396,2896,10,1,22,0
UCs1qD5IhqZGh8JUfJMc3Fwg,747,1367,1,0,4,0
UCr0-gGexvhqXnfNnD1HJCmA,645,763,1,0,-1,0
UC_8nqHZ6PFmjyCpz46Weaxg,448,916,5,1,6,1
UCA0_DhKu4732IFjKK4OFVbg,372,673,4,0,1,0
UC3zY--b8e61Os7LA_vMN25A,120,216,0,0,2,0
UCxiyzbjzA6IlV0ROt1GXsRg,32,27,10,0,1,0
UCN5YtRZSu6NFeNKMSQDdMlQ,0,0,11,0,0,0
UCZ7xwOk5EoC7doN58MQTYsw,0,0,24,0,0,0
UCiS6lByEku_8t8eynNFy-4g,0,0,0,0,0,0
UCoNhWLip9Q3NFCDCEtIOLKQ,0,0,8,0,0,0
UCEzDdNqNkT-7rSfSGSr1hWg,287692414,773720174,740154,65088,2079671,55606
UCm1s2VS9BdyXL9FU4a-W_cQ,208294921,984433590,381014,46573,1381477,58521
UClc5Eis2-L2JCcN62jmD21w,46514319,91892336,453462,7702,548107,37145
UC4UQFLK99sYuG1b8oRd5BvQ,39260714,151660721,86991,15088,476472,11722
UC8gbK8uoqKhlACSeenUPkFQ,32641462,96368118,110095,12885,250045,12792
UCaP-W0X3rp3U1lMedCHybtQ,18660168,52759458,39799,3406,125139,8070
UCdMRUaySf3cT27DDC6s2JKQ,16454975,32414330,128919,4842,178396,5947
UCzIbZKWAK8LzeG6JnsZbv5A,6313445,14098000,100697,19998,485982,2726
UC_oP9EI_H0Fz5mborGXBAiQ,2318899,5854869,8086,6640,54880,1790
UCoIhmmonW2dvhlfaHotzsew,969104,2396349,1382,123,7715,265
UCaYT1AshD7DXrYngBfYjFLA,637186,645213,973,268,4856,900
UC9qDclpoGtztMnaTMM_a4CA,613399,1485253,4013,561,8044,449
UCJLD33K474ja0jSpuOzMjGA,382454,872511,31165,178,6491,149
UCT3LN2SeSHEEWOGGeU_5vag,233508,628419,639,61,1910,111
UCp73ffsOnfY0RZtD3q1HeEw,188443,393416,647,549,5437,117
UCqurrJxBoBeBmcqRbIBwbJw,113975,265414,730,77,2712,38
UCpCaouuN4QSTqggIhTyB8KQ,95677,216511,3967,121,2337,73
